antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'1004209'}),frozenset({'1004856'}),0.00871867439631168,0.07049497116598956,0.0026171239025577823,0.30017452006980805,4.25809834524236,1.0,0.002002501202384139,1.3281954651418653,0.7718831790513478,0.034167659912594364,0.24709876953751725,0.16864974654472487
frozenset({'4804055'}),frozenset({'4804056'}),0.009464250391807793,0.028514477868565605,0.0027236347590572267,0.2877813504823151,10.092464319662877,1.0,0.00245376660071746,1.3640270762206594,0.9095241360365531,0.07725507121277514,0.2668767230261129,0.19164947993699533
frozenset({'1004833'}),frozenset({'1004856'}),0.035270309337958945,0.07049497116598956,0.00893169610931057,0.25323554788610875,3.592249825733424,1.0,0.006445316669515622,1.2447097959776063,0.7480053031954458,0.09223758642363294,0.19659987956100958,0.18996765522947787
frozenset({'1004249'}),frozenset({'1005115'}),0.025303936336939486,0.05225118303129898,0.006040687147182788,0.23872519542994589,4.56879981620602,1.0,0.004718526538229026,1.2449496703151262,0.8014027825696063,0.08446808510638298,0.19675467704097924,0.1771669075577219
frozenset({'1004858'}),frozenset({'1004856'}),0.008642595213097792,0.07049497116598956,0.002023706273489448,0.23415492957746478,3.3215834506282245,1.0,0.0014144467731427995,1.2136985204085469,0.7050320766076472,0.026243093922651936,0.17607216027305794,0.13143101540388455
frozenset({'1005105'}),frozenset({'1005115'}),0.021926020602242816,0.05225118303129898,0.00477777270583223,0.21790423317140872,4.170321522498006,1.0,0.0036321121901964084,1.21180660625723,0.7772523870487001,0.06884455163341371,0.17478581579235078,0.15467139439583832
frozenset({'1005116'}),frozenset({'1005115'}),0.011518388338582796,0.05225118303129898,0.002464965536130004,0.21400264200792604,4.0956516119402755,1.0,0.0018631161188251348,1.205791352008919,0.7646460983899155,0.040208488458674606,0.17066912253604938,0.13058897388689839
frozenset({'1003317'}),frozenset({'1005115'}),0.006968853182392234,0.05225118303129898,0.0014759361543494468,0.21179039301310043,4.053312876882345,1.0,0.00111180533119802,1.2024070863481027,0.7585746237547017,0.025559947299077734,0.16833490807414025,0.12001866767719668
frozenset({'1005100'}),frozenset({'1004856'}),0.02376713683601893,0.07049497116598956,0.004960362745545564,0.2087067861715749,2.960591127559265,1.0,0.0032848991195922814,1.1746657403225924,0.6783521039610471,0.055546089623445226,0.1486939938119119,0.13953578030788977
frozenset({'4804718'}),frozenset({'4804056'}),0.00602547131054001,0.028514477868565605,0.0012172669314222243,0.20202020202020204,7.084829080560137,1.0,0.0010454537630901542,1.2174312239368608,0.8640597014925373,0.03652968036529681,0.17859836322724168,0.12235481819259836
frozenset({'1002633'}),frozenset({'1002544'}),0.013679037141857244,0.032927070494971164,0.0027236347590572267,0.19911012235817577,6.047003859289127,1.0,0.0022732241387839643,1.2074980050347512,0.8462041044414019,0.06206657420249654,0.1718412818651237,0.1409136563731729
frozenset({'1004246'}),frozenset({'1005115'}),0.0067862631426789,0.05225118303129898,0.0013237777879216688,0.19506726457399104,3.7332602490003683,1.0,0.0009691875103549955,1.1774261068747651,0.7371400397082195,0.02293698919061429,0.15068980196617698,0.11020107550190525
frozenset({'1003306'}),frozenset({'1002544'}),0.009266444515451682,0.032927070494971164,0.0017954687238477807,0.19376026272577995,5.884527831146481,1.0,0.0014903518520497643,1.1994855683677446,0.8378265039014913,0.044444444444444446,0.16630926926382592,0.12414445668636502
frozenset({'1004873'}),frozenset({'1004767'}),0.01600706014820225,0.05132301699608953,0.002799713942271116,0.17490494296577946,3.4079240310269765,1.0,0.0019781833222275043,1.1497790162674122,0.7180602627292023,0.043385993869370434,0.13026765504352975,0.11472789395546608
frozenset({'1004767'}),frozenset({'1004856'}),0.05132301699608953,0.07049497116598956,0.00858173186652668,0.16721019863622888,2.3719450603435352,1.0,0.004963717263235757,1.1161340200274537,0.6096965408526018,0.07578607901101854,0.10405024660443292,0.14447278764101537
frozenset({'1004836'}),frozenset({'1004856'}),0.019902314328753366,0.07049497116598956,0.0031344623484122276,0.15749235474006118,2.2340934698621977,1.0,0.0017314492736702984,1.1032600523728544,0.5636082627594774,0.03591979075850044,0.09359538773362298,0.10097799260853696
frozenset({'1004833'}),frozenset({'1004767'}),0.035270309337958945,0.05132301699608953,0.005508132864685565,0.1561691113028473,3.0428669326814193,1.0,0.003697954179076163,1.1242501260751863,0.6959074300037914,0.06793019328204167,0.1105182229411437,0.13174598464638362
frozenset({'1004768'}),frozenset({'1004767'}),0.00741011244503279,0.05132301699608953,0.0011564035848511131,0.15605749486652978,3.040692149458406,1.0,0.0007760942578917606,1.1241014372820057,0.676137766389177,0.020084566596194505,0.11040056810359922,0.08929468280237252
frozenset({'1004246'}),frozenset({'1004249'}),0.0067862631426789,0.025303936336939486,0.0010498927283516684,0.1547085201793722,6.1140100148578,1.0,0.0008781735578236027,1.1530887119196949,0.8421563174751193,0.033823529411764704,0.13276403657167757,0.09809990049858568
frozenset({'1004750'}),frozenset({'1004833'}),0.011624899195082241,0.035270309337958945,0.0017954687238477807,0.1544502617801047,4.3790447171916576,1.0,0.00138545493321464,1.1409496651173365,0.7807154302598616,0.0398110661268556,0.12353714578884693,0.10267810759410757
frozenset({'1004836'}),frozenset({'1004767'}),0.019902314328753366,0.05132301699608953,0.0030735990018411164,0.15443425076452602,3.009064154905252,1.0,0.002052152185284991,1.1219434844205378,0.681228790756678,0.04509935253404779,0.10868950719342103,0.10716079570541748
frozenset({'1004750'}),frozenset({'1004767'}),0.011624899195082241,0.05132301699608953,0.001780252887205003,0.1531413612565445,2.9838729330392417,1.0,0.0011836279882379698,1.1202306259891617,0.6726849806887372,0.0291044776119403,0.10732667291880031,0.09391429165703004
frozenset({'1002524'}),frozenset({'1002544'}),0.017422132955980586,0.032927070494971164,0.0026171239025577823,0.1502183406113537,4.562153217799804,1.0,0.002043464102543449,1.1380251842582303,0.7946497510775117,0.05482945489321008,0.12128482406845471,0.11485039026870827
frozenset({'1004750'}),frozenset({'1004856'}),0.011624899195082241,0.07049497116598956,0.0017346053772766695,0.14921465968586387,2.1166709797571035,1.0,0.0009151084437118116,1.0925259108141292,0.5337649819084096,0.0215786484951732,0.0846899006222934,0.08691037322734807
frozenset({'1004870'}),frozenset({'1004767'}),0.021849941419028924,0.05132301699608953,0.0030735990018411164,0.14066852367688024,2.7408467371978196,1.0,0.0019521940870287345,1.103970946186074,0.6493372258591653,0.04384632081614935,0.09417906018746786,0.10027793216159459
